State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Madanapalli,Tomato,Local,FAQ,24/08/2025,3400,4400,4000
Bihar,Banka,Barahat,Onion,Medium,FAQ,24/08/2025,3000,3500,3200
Chattisgarh,Surajpur,Surajpur,Maize,"Deshi Red",FAQ,24/08/2025,2300,2300,2300
Gujarat,Bharuch,Bharuch,"Bottle gourd",Other,FAQ,24/08/2025,800,1200,1000
Gujarat,Bharuch,Bharuch,Coriander(Leaves),Other,FAQ,24/08/2025,1500,2000,1700
Gujarat,Bharuch,Bharuch,Ginger(Green),Other,FAQ,24/08/2025,2000,3000,2500
Gujarat,Bharuch,Bharuch,Tomato,Other,Non-FAQ,24/08/2025,2000,3000,2500
Gujarat,Kheda,Nadiyad(Chaklasi),Coriander(Leaves),Coriander,FAQ,24/08/2025,1500,1700,1600
Gujarat,Kheda,Nadiyad(Piplag),Potato,Potato,Non-FAQ,24/08/2025,900,1100,1000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)","Bhindi(Ladies Finger)",Bhindi,FAQ,24/08/2025,800,3000,1900
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Carrot,Carrot,FAQ,24/08/2025,1500,3000,2250
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Cauliflower,Cauliflower,FAQ,24/08/2025,1000,3500,2250
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Guava,Guava,Medium,24/08/2025,2000,3000,2500
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Papaya,Other,Medium,24/08/2025,500,2500,1500
Haryana,Bhiwani,Bhiwani,Pomegranate,Other,Large,24/08/2025,8780,11250,10450
Haryana,Faridabad,Faridabad,Apple,Apple,Large,24/08/2025,2500,8000,5500
Haryana,Faridabad,Faridabad,Banana,Amruthapani,Large,24/08/2025,1200,2000,1600
Haryana,Gurgaon,Gurgaon,"Bitter gourd",Other,FAQ,24/08/2025,1200,1600,1400
Haryana,Hissar,Hansi,"Bhindi(Ladies Finger)",Other,FAQ,24/08/2025,2000,2500,2300
Haryana,Hissar,Hansi,Capsicum,Other,FAQ,24/08/2025,5000,7000,6000
Haryana,Hissar,Hansi,Cauliflower,Other,FAQ,24/08/2025,4000,6000,5000
Haryana,Hissar,Hansi,Chikoos(Sapota),Other,Medium,24/08/2025,5000,7000,6000
Haryana,Hissar,Hansi,Pomegranate,Other,Medium,24/08/2025,5000,10000,8000
Haryana,Hissar,Hansi,Pumpkin,Other,FAQ,24/08/2025,1000,1500,1300
Haryana,Hissar,Hansi,Ridgeguard(Tori),Other,FAQ,24/08/2025,3000,3500,3300
Haryana,Hissar,Hansi,Tomato,Other,Non-FAQ,24/08/2025,5000,6000,5500
Haryana,Hissar,Uklana,"Bottle gourd","Bottle Gourd",FAQ,24/08/2025,800,1000,1000
Haryana,Hissar,Uklana,Brinjal,Other,FAQ,24/08/2025,1200,1200,1200
Haryana,Hissar,Uklana,Tomato,Other,FAQ,24/08/2025,3500,4000,4000
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,24/08/2025,4000,4000,4000
